,net,gross,nowcast_chain,nowcast_chain_0_2
2020-07-26,321.0,351.0,,
2020-07-27,647.0,662.0,,
2020-07-28,680.0,713.0,,
2020-07-29,896.0,928.0,,
2020-07-30,874.0,905.0,,
2020-07-31,955.0,966.0,,
2020-08-01,52.0,443.0,702.7838100051222,717.8949689880808
2020-08-02,702.0,704.0,657.8532324726801,649.1905786842564
2020-08-03,860.0,911.0,740.2121578581335,756.7901247077017
2020-08-04,745.0,775.0,745.7883433941169,753.741344183458
2020-08-05,1041.0,1072.0,819.9455589606742,851.9093375036357
2020-08-06,1162.0,1189.0,940.3696586215892,989.9556857957733
2020-08-07,1109.0,1137.0,1003.2714137488232,1052.0876379308563
2020-08-08,575.0,577.0,926.00041223223,923.1282556307386
2020-08-09,437.0,441.0,870.8965964959781,829.4992201537393
2020-08-10,955.0,972.0,939.7865853189536,906.5744594342219
2020-08-11,1218.0,1247.0,1025.0508553085547,1024.2535536631074
2020-08-12,1444.0,1459.0,1166.9832023474867,1172.131563829297
2020-08-13,1454.0,1472.0,1268.9611617597398,1274.999034061015
2020-08-14,1395.0,1453.0,1351.0347403560372,1363.6042737862747
2020-08-15,658.0,660.0,1224.0352295070838,1178.7831943627018
2020-08-16,561.0,568.0,1163.2792918065045,1086.7886559013768
2020-08-17,1376.0,1403.0,1288.3373243701812,1230.8951321066393
2020-08-18,1507.0,1526.0,1358.8374747545986,1318.2067444290715
2020-08-19,1697.0,1725.0,1462.7535114702584,1432.4328540944955
2020-08-20,1444.0,1456.0,1448.7211695469275,1407.4083307342833
2020-08-21,2030.0,2038.0,1629.015481265883,1640.0608577069434
2020-08-22,796.0,803.0,1484.9213446857266,1420.5325608025046
2020-08-23,710.0,712.0,1410.300966871325,1317.1015627746553
2020-08-24,1263.0,1273.0,1411.6731159549813,1332.8309989258944
2020-08-25,1588.0,1621.0,1437.976247439998,1377.01029621192
2020-08-26,1493.0,1521.0,1441.116143781028,1370.2938235362578
2020-08-27,1570.0,1597.0,1471.643465569604,1404.4174409644434
2020-08-28,1452.0,1498.0,1460.8208990476082,1374.9840612446826
2020-08-29,818.0,839.0,1339.7817375056215,1253.2163495401635
2020-08-30,626.0,628.0,1258.7174813158126,1160.5224365531667
2020-08-31,1193.0,1212.0,1247.330942128766,1171.2830379976838
2020-09-01,1245.0,1288.0,1215.4989279599988,1149.8421643100414
2020-09-02,1330.0,1341.0,1190.776850802228,1120.784079512821
2020-09-03,1441.0,1467.0,1205.5523966033436,1158.1118936879716
2020-09-04,1370.0,1390.0,1216.4262450217545,1175.8827484567464
2020-09-05,1015.0,1021.0,1192.402274795184,1138.4777918563866
2020-09-06,823.0,848.0,1180.3283393798413,1105.8074771453632
2020-09-07,1482.0,1523.0,1301.725307788816,1274.2722097741455
2020-09-08,1177.0,1202.0,1237.2747182859296,1216.1750981033013
2020-09-09,1883.0,1921.0,1400.9711107176513,1421.3747190084102
2020-09-10,1486.0,1493.0,1395.5740164019778,1404.3082620157363
2020-09-11,1635.0,1675.0,1445.2198537841632,1476.1181479481525
2020-09-12,964.0,976.0,1347.2060040151607,1330.5297397135755
2020-09-13,931.0,940.0,1330.2329224660375,1289.7168992874006
2020-09-14,1370.0,1409.0,1343.9014234498227,1351.4274646045992
2020-09-15,1920.0,1941.0,1451.7896026992705,1517.1368776768336
2020-09-16,2185.0,2237.0,1623.4948882360236,1721.747527553592
2020-09-17,1865.0,1997.0,1688.8584746025747,1801.2086828295028
2020-09-18,2344.0,2365.0,1831.4625209172889,1986.301157136757
2020-09-19,1364.0,1381.0,1744.5168934112876,1824.6546483213547
2020-09-20,930.0,942.0,1647.2656043086447,1652.7864096033825
2020-09-21,1784.0,1791.0,1723.0431431884124,1783.266746829487
2020-09-22,1773.0,1795.0,1674.272925689032,1744.0860373413648
2020-09-23,2140.0,2160.0,1728.5021793707401,1831.9949384182096
2020-09-24,2144.0,2186.0,1790.598058183347,1887.6379106505144
2020-09-25,2522.0,2550.0,1932.7975935414413,2079.4822099498056
2020-09-26,1435.0,1437.0,1857.8941500324966,1909.1210964289126
2020-09-27,1200.0,1204.0,1800.43923775732,1807.6202225946865
2020-09-28,2078.0,2093.0,1922.5366896633407,1959.074753663915
2020-09-29,1781.0,1805.0,1894.5037744590848,1911.5647915775353
2020-09-30,2487.0,2538.0,2025.9860005349933,2081.633964403591
2020-10-01,2682.0,2718.0,2174.9013023788048,2251.8792923007754
2020-10-02,2557.0,2586.0,2231.2696218971664,2342.0600201013212
2020-10-03,2305.0,2319.0,2282.2516862652483,2387.721326441399
2020-10-04,1388.0,1407.0,2209.2535223390346,2221.830432039481
2020-10-05,2622.0,2633.0,2401.7869104371084,2470.505575381345
2020-10-06,2813.0,2825.0,2543.956893805674,2631.006176537724
2020-10-07,4066.0,4102.0,2952.127054296635,3129.75634399664
2020-10-08,4501.0,4523.0,3382.291465202959,3759.6057324238695
2020-10-09,4733.0,4749.0,3799.171949806877,4312.778435646965
2020-10-10,3497.0,3508.0,3897.194835842058,4216.611130920275
2020-10-11,2482.0,2493.0,3847.5232154251476,3949.7942257351838
2020-10-12,4094.0,4099.0,4106.1759488018715,4297.672542735649
2020-10-13,5118.0,5131.0,4476.431146728647,4779.071177212668
2020-10-14,6627.0,6655.0,5191.893505336112,5627.869711050664
2020-10-15,7342.0,7361.0,5888.904441952306,6492.203723277075
2020-10-16,7810.0,7834.0,6593.058530498217,7326.084093005066
2020-10-17,5617.0,5624.0,6639.660372188235,7108.567282953056
2020-10-18,4334.0,4392.0,6598.3403551998545,6699.1338245462475
2020-10-19,6829.0,6853.0,7078.725039598277,7217.263195345994
2020-10-20,7569.0,7609.0,7563.651481504691,7725.473950904509
2020-10-21,11283.0,11298.0,8903.59406583791,9233.22161583598
2020-10-22,11263.0,11311.0,9687.092296802904,10132.119243998395
2020-10-23,14666.0,14706.0,11511.913838403403,12418.811722652605
2020-10-24,11233.0,11244.0,12257.295332290683,12760.795484036391
2020-10-25,8684.0,8700.0,12468.772823278196,12405.363306603003
2020-10-26,11353.0,11395.0,13210.950944047036,13181.804514036057
2020-10-27,14958.0,14986.0,14477.1124557827,14667.036220374184
2020-10-28,16681.0,16698.0,15538.85731116551,15768.55801404517
2020-10-29,18751.0,18767.0,16898.9351764516,17183.72269218436
2020-10-30,19069.0,19082.0,18017.973009981408,18350.710343785053
2020-10-31,14240.0,14249.0,17919.863484673886,17757.082826202106
2020-11-01,12117.0,12135.0,17928.18844442068,17224.929252154976
2020-11-02,15209.0,15218.0,18271.16282578607,17631.712084480703
2020-11-03,17238.0,17268.0,18682.680865618207,18104.05457715607
2020-11-04,20014.0,20051.0,19253.85369595556,18637.634916797342
2020-11-05,21393.0,21416.0,20052.24088829416,19503.386245274283
2020-11-06,23431.0,23450.0,21327.978428446968,20842.557988345063
2020-11-07,16155.0,16161.0,21058.059812066535,19986.52076892228
2020-11-08,13345.0,13368.0,20629.574622686825,19239.14316247676
2020-11-09,15189.0,15210.0,20282.64798498561,18907.242584102736
2020-11-10,18489.0,18514.0,20165.4789607219,18964.55970226513
2020-11-11,21816.0,21824.0,20750.732484238168,19519.36909899976
2020-11-12,23565.0,23603.0,21413.270462268414,20307.944590924108
2020-11-13,22440.0,22459.0,21783.520688856952,20664.7189397939
2020-11-14,17114.0,17130.0,21459.680711405286,20044.35627741743
2020-11-15,10873.0,10894.0,20395.64854173473,18643.39992071469
2020-11-16,14284.0,14333.0,19806.167718764747,18200.572533195165
2020-11-17,17550.0,17579.0,19546.15890959094,17982.62795670798
2020-11-18,22588.0,22618.0,20368.87077681962,18711.627745985297
2020-11-19,23640.0,23671.0,20928.73084021363,19371.873542329417
2020-11-20,23014.0,23059.0,21313.61918286545,19876.841701629328
2020-11-21,15853.0,15868.0,20724.220411963117,19093.837643074658
2020-11-22,10924.0,10971.0,20026.235879546202,18198.216379984508
2020-11-23,13371.0,13434.0,19312.861359870323,17551.07265578401
2020-11-24,18552.0,18731.0,19155.99712502576,17569.102331095608
2020-11-25,22298.0,22502.0,19601.318358959274,18125.15167465045
2020-11-26,22800.0,22978.0,19845.490495775684,18348.425975747952
2020-11-27,21687.0,21792.0,20019.462514763465,18866.731553975664
2020-11-28,14781.0,14828.0,19670.903416088728,18038.764788838464
2020-11-29,11201.0,11247.0,19087.48753079725,17270.78526259189
2020-11-30,13462.0,13550.0,18378.788912264874,16946.689441386163
2020-12-01,17213.0,17368.0,18352.587777870973,16856.013708662944
2020-12-02,22066.0,22241.0,19091.98172320144,17465.642132499506
2020-12-03,23421.0,23611.0,19754.029570254275,18542.984092852206
2020-12-04,23320.0,23500.0,20493.574653889893,19283.690587718414
2020-12-05,17923.0,17961.0,20595.68013990222,19155.95100939804
2020-12-06,12421.0,12502.0,20301.19419470115,18601.352481501643
2020-12-07,13764.0,14095.0,19864.721881067508,18133.94264291954
2020-12-08,20810.0,21049.0,20484.545771143934,18835.24087662281
2020-12-09,23747.0,23932.0,21162.92382612164,19522.191936090814
2020-12-10,29844.0,30068.0,22957.72331932688,21748.70889711888
2020-12-11,28411.0,28686.0,24333.81789483477,23348.24700564296
2020-12-12,20416.0,20503.0,24403.428897051544,23126.12256555213
2020-12-13,16355.0,16521.0,24321.757161280726,22733.15582214496
2020-12-14,14315.0,14580.0,23178.10680384965,21475.263760816848
2020-12-15,27508.0,27855.0,24558.319422360986,23124.398321523007
2020-12-16,27086.0,27169.0,25022.9978154062,23820.783762874282
2020-12-17,33735.0,34036.0,26546.25345030066,25813.266646310367
2020-12-18,31317.0,31473.0,27618.653559879083,27013.609438463656
2020-12-19,22916.0,22997.0,27305.39053377473,26239.156473767325
2020-12-20,16653.0,16776.0,26767.97795670404,25244.42913406463
2020-12-21,19351.0,19647.0,26157.113652292028,24718.986265810123
2020-12-22,24709.0,24875.0,26136.120487453725,24678.028413948217
2020-12-23,32159.0,32428.0,27245.90618274879,25932.731994774826
2020-12-24,25716.0,25771.0,26288.254475543858,24817.304803728624
2020-12-25,14582.0,14712.0,23376.635452187733,21683.097169633755
2020-12-26,13697.0,14028.0,21861.72572129113,20024.4306909026
2020-12-27,10994.0,11358.0,20591.45703671668,18749.761564149383
2020-12-28,12663.0,13043.0,18902.07020601478,17247.647979374302
2020-12-29,22361.0,22647.0,18769.14682609589,17265.658559729753
2020-12-30,32613.0,32845.0,20201.37551859278,19046.7502096541
2020-12-31,23187.0,23242.0,20258.80934076577,19203.26116461997
2021-01-01,12721.0,12857.0,19358.375563000387,18090.02925075676
2021-01-02,10298.0,10497.0,18353.811753206966,17021.265563320416
2021-01-03,9880.0,10116.0,17613.601569488805,16310.603411513059
2021-01-04,11663.0,12237.0,16351.339610686542,15176.537633786184
2021-01-05,21158.0,21459.0,16414.660195240333,15387.426037973288
2021-01-06,26430.0,26708.0,16919.28599740205,16193.778636905616
2021-01-07,31789.0,32199.0,19690.00567254861,19758.104440783798
2021-01-08,24626.0,25124.0,21559.462713433502,21796.32432745985
2021-01-09,17222.0,17354.0,21799.421336362662,21556.820590826774
2021-01-10,12505.0,12749.0,21096.42965576461,20564.48162462936
2021-01-11,12457.0,13009.0,19913.811195169223,19309.4292194332
2021-01-12,19632.0,20182.0,19512.692662094887,18808.5254259178
2021-01-13,25198.0,25838.0,20019.602755555705,19417.251702918595
2021-01-14,22327.0,23002.0,19587.38722869172,19491.573897122067
2021-01-15,18698.0,19394.0,18913.51294258772,18247.460468622758
2021-01-16,14227.0,14489.0,18226.959814689377,17481.32623562543
2021-01-17,7181.0,7457.0,16821.891946598702,15660.83679427222
2021-01-18,11067.0,11604.0,15871.697415690269,14895.941685064843
2021-01-19,15846.0,16644.0,15603.142587638646,14515.059214603389
2021-01-20,20165.0,21108.0,15951.666099298242,15044.919368208552
2021-01-21,18159.0,18875.0,15750.97007994593,14918.481137436509
2021-01-22,16529.0,17084.0,15528.780080060513,14786.034158992496
2021-01-23,12495.0,12844.0,15195.663163157902,14322.485752823835
2021-01-24,6783.0,7139.0,14141.641190232594,13090.223412085736
